# Wordlist

# DATA
ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE	SUBGROUP
197		h a t u n	207	big	Bobonaza	jatun	grande	h a t u n	jatun				Quechua
198		h a t u n	207	big	Cacra-Hongos	hatun	grande	h a t u n	hatun				Quechua
199		- a t u n	207	big	Chachapoyas	atun	grande	a t u n	atun				Quechua
200		h a t u n	207	big	Chacpar	hatun	grande	h a t u n	hatun				Quechua
201		- a t u n	207	big	Chetilla	atun	grande	a t u n	atun				Quechua
203		- a tʰ u n	207	big	Curva	athun	grande	a tʰ u n	athun				Quechua
204		h a t u n	207	big	Cuzco	hatun	grande	h a t u n	hatun				Quechua
206		h a t u n	207	big	Huallaga	hatun	grande	h a t u n	hatun				Quechua
207		h a t u n	207	big	Huanca	hatun	grande	h a t u n	hatun				Quechua
210		h a t u n	207	big	Huangascar	hatun	grande	h a t u n	hatun				Quechua
212		x a t u n	207	big	Imbabura	jatun	grande	x a t u n	jatun				Quechua
213		- a t u n	207	big	Inkawasi	atun	grande	a t u n	atun				Quechua
217		- a t u n	207	big	Lamas	atun	grande	a t u n	atun				Quechua
218		h a t u n	207	big	Laraos	hatun	grande	h a t u n	hatun				Quechua
219		h a t u n	207	big	Lincha-Tana	hatun	grande	h a t u n	hatun				Quechua
220		h a t u n	207	big	Maragua	hatun	grande	h a t u n	hatun				Quechua
221		h a t u n	207	big	Napo	jatun	grande	h a t u n	jatun				Quechua
222		x a t u ŋ	207	big	Pacaraos	hatun	grande	x a t u ŋ	hatun				Quechua
223		- a t u n	207	big	Pastaza	atun	grande	a t u n	atun				Quechua
224		h a t u n	207	big	Pocona	hatun	grande	h a t u n	hatun				Quechua
226		h a t u n	207	big	Puno	hatun	grande	h a t u n	hatun				Quechua
227		- a t u n	207	big	Putumayo	atun	grande	a t u n	atun				Quechua
228		h a t u n	207	big	SanPedro	hatun	grande	h a t u n	hatun				Quechua
229		- a t u n	207	big	Santiagueno	atun	grande	a t u n	atun				Quechua
231		- a t u n	207	big	Serena	atun	grande	a t u n	atun				Quechua
233		- a tʰ u n	207	big	Taquile	athun	grande	a tʰ u n	athun				Quechua
234		χ a t u ŋ	207	big	Tarma	xatun̊	grande	χ a t u ŋ	xatun̊				Quechua
235		h a t u n	207	big	Troje	hatun	grande	h a t u n	hatun				Quechua
237		j a ʃ q - a	85	big	Wari	yashqa	grande	j a ʃ q a	yashqa				Quechua
238		- a t u n	207	big	Yanac	atun	grande	a t u n	atun				Quechua
7511		h a t u n	207	big	Azuay	jatun	grande	h a t u n	jatun				
7584		h a t u n	207	big	Jauja	hatun	grande	h a t u n	hatun				
#
4719		p i ʃ q o	256	bird	Apuri	pishqu	pájaro	p i ʃ q o	pishqu				Quechua
4720		p i tʃ i n k o	257	bird	Apurimac	pichinko	pájaro	p i tʃ i n k o	pichinko				Quechua
4721		p i s q o	256	bird	Apurimac	pisqo	pájaro	p i s q o	pisqo				Quechua
4722		u r p i t u	45	bird	Apurimac	urpitu	pájaro	u r p i t u	urpitu				Quechua
4723		p i s χ u	256	bird	Arma	pisqu	pájaro	p i s χ u	pisqu				Quechua
4724		p i tʃ i w s a	257	bird	Atalla	pičiwsa	pájaro	p i tʃ i w s a	pičiwsa				Quechua
4725		u ɾ p i t u	45	bird	Ayacucho	urpitu	pájaro	u ɾ p i t u	urpitu, pisqo				Quechua
4726		p i s χ o	256	bird	Ayacucho	pisqo	pájaro	p i s χ o	urpitu, pisqo				Quechua
4727		p i ʃ k u	256	bird	Bobonaza	pishcu	pájaro	p i ʃ k u	pishcu				Quechua
4728		p i ʃ q o	256	bird	Cacra-Hongos	pishqu	pájaro	p i ʃ q o	pishqu				Quechua
4729		p i ʃ k u	256	bird	Chachapoyas	pishku	pájaro	p i ʃ k u	pishku				Quechua
4730		- - tʃ a n k i s -	43	bird	Chacpar	čankis	pájaro	tʃ a n k i s	čankis				Quechua
4731		p i ʃ ʁ u	256	bird	Chetilla	pišγu	pájaro	p i ʃ ʁ u	pišγu				Quechua
4733		pʼ i s q u	256	bird	Curva	p'isqu	pájaro	pʼ i s q u	p'isqu				Quechua
4734		p i tʃ i n k u	257	bird	Cuzco	pičinku	pájaro	p i tʃ i n k u	pičinku, pičinchu				Quechua
4735		p i tʃ i n kʰ u	257	bird	Cuzco	pičinchu	pájaro	p i tʃ i n kʰ u	pičinku, pičinchu				Quechua
4738		p i ʃ q u	256	bird	Huallaga	pišqu	pájaro	p i ʃ q u	pišqu				Quechua
4739		p i ʃ ʔ u	256	bird	Huanca	pishqu	pájaro	p i ʃ ʔ u	pishqu				Quechua
4741		p i ʃ q o	256	bird	Huangascar	pishqu	pájaro	p i ʃ q o	pishqu				Quechua
4742		p i ʃ q u	256	bird	HuarazHuailas	pishqu	pájaro	p i ʃ q u	pishqu				Quechua
4743		p i ʃ k u	256	bird	Imbabura	pishku	pájaro	p i ʃ k u	pishku				Quechua
4744		k u r u	7717	bird	Inkawasi	kuru	pájaro	k u r u	kuru		[parix] before kuru; probably a kind?		Quechua
4748		p i ʃ k u	256	bird	Lamas	pishku	pájaro	p i ʃ k u	pishku				Quechua
4749		p i ʃ q u	256	bird	Laraos	pišqu	pájaro	p i ʃ q u	pišqu				Quechua
4750		p i ʃ q o	256	bird	Lincha-Tana	pishqu	pájaro	p i ʃ q o	pishqu				Quechua
4751		pʼ i s q u	256	bird	Maragua	p'isqu	pájaro	pʼ i s q u	p'isqu				Quechua
4752		p i ʃ k u	256	bird	Napo	pishcu	pájaro	p i ʃ k u	pishcu				Quechua
4753		p i ʃ χ o	256	bird	Pacaraos	pishqu	pájaro	p i ʃ χ o	pishqu				Quechua
4754		p i ʃ k u	256	bird	Pastaza	pishcu	pájaro	p i ʃ k u	pishcu				Quechua
4755		pʼ i s ʁ u	256	bird	Pocona	p'isγu	pájaro	pʼ i s ʁ u	p'isγu				Quechua
4757		pʼ i s q u	256	bird	Puno	p'isqu	pájaro	pʼ i s q u	p'isqu				Quechua
4758		p i s k u	256	bird	Putumayo	piscu	pájaro	p i s k u	piscu				Quechua
4759		p i ʃ q u	256	bird	Raimondi	pishqu	pájaro	p i ʃ q u	pishqu				Quechua
4760		p i ʃ q o	256	bird	SanPedro	pishqu	pájaro	p i ʃ q o	pishqu				Quechua
4761		p i ʃ q o	256	bird	Santiagueno	pishqo	pájaro	p i ʃ q o	pishqo		in disuse, vulgar connotation.		Quechua
4763		p i ʃ k u	256	bird	Serena	pišku	pájaro	p i ʃ k u	pišku				Quechua
4765		pʼ i s q u	256	bird	Taquile	p'isqu	pájaro	pʼ i s q u	p'isqu				Quechua
4766		p i ʃ χ o	256	bird	Tarma	pišxu	pájaro	p i ʃ χ o	pišxu				Quechua
4767		p i ʃ k u	256	bird	Troje	pišku	pájaro	p i ʃ k u	pišku				Quechua
4769		p i ʃ q u	256	bird	Wari	pishqu	pájaro	p i ʃ q u	pishqu				Quechua
4770		p i ʃ q u	256	bird	Yanac	pišqu	pájaro	p i ʃ q u	pišqu				Quechua
7459		p i ʃ k u	256	bird	Azuay	pishcu	pájaro	p i ʃ k u	pishcu				
7585		p i ʃ ʔ u	256	bird	Jauja	pishqu	pájaro	p i ʃ ʔ u	pishqu				
#
1873		k a n i + n i	311	bite, to	Apuri	kani-	morder	k a n i	kani-				Quechua
1874		k a tʃ u	214	bite, to	Apurimac	kachu	morder	k a tʃ u	kachu, qachu, kamu, kani		cognado con kani?		Quechua
1875		q a tʃ u	214	bite, to	Apurimac	qachu	morder	q a tʃ u	kachu, qachu, kamu, kani				Quechua
1876		k a m - - u	269	bite, to	Apurimac	kamu	morder	k a m u	kachu, qachu, kamu, kani		Cognado con kani y con qachu?		Quechua
1877		k a n i	311	bite, to	Apurimac	kani	morder	k a n i	kachu, qachu, kamu, kani				Quechua
1878		k a tʃ u	214	bite, to	Arma	kachu	morder	k a tʃ u	kachu, kani				Quechua
1879		k a n i	311	bite, to	Arma	kani	morder	k a n i	kachu, kani				Quechua
1880		k a tʃ a	214	bite, to	Atalla	kača.	morder	k a tʃ a	kača.				Quechua
1881		k a tʃ u	214	bite, to	Ayacucho	kachu	morder	k a tʃ u	kachu		kani solo para perro		Quechua
1882		k a n i + n a	311	bite, to	Bobonaza	canina	morder	k a n i + n a	canina				Quechua
1883		k a n i	311	bite, to	Cacra-Hongos	kani-	morder	k a n i	kani-				Quechua
1884		k a n i	311	bite, to	Chachapoyas	kani	morder	k a n i	kani		also for other animals than dogs		Quechua
1885		k a n i	311	bite, to	Chacpar	kani.	morder	k a n i	kani.				Quechua
1886		k a n i	311	bite, to	Chetilla	kani.	morder	k a n i	kani.				Quechua
1888		k a n i	311	bite, to	Curva	kani.	morder	k a n i	kani.				Quechua
1889		k a n i	311	bite, to	Cuzco	kani.	morder	k a n i	kani.				Quechua
1891		k a ɲ i	311	bite, to	Huallaga	kañi.	morder	k a ɲ i	kañi.				Quechua
1892		k a n i	311	bite, to	Huanca	kaniy	morder	k a n i	kaniy				Quechua
1896		k a n i	311	bite, to	Huangascar	kani-	morder	k a n i	kani-				Quechua
1897		- a ɲ i	311	bite, to	HuarazHuailas	aniy	morder	a ɲ i	aniy				Quechua
